Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.265344017873011,0.9931319508072192,0.26352162210524904
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.265344017873011,0.9996769765112368,0.2652583055226352
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.265344017873011,0.9997151979540988,0.26526844735385313
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.265344017873011,0.9999999999959308,0.26534401787193124
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.265344017873011,0.9999999999961793,0.2653440178719972
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.265344017873011,0.9999999999999998,0.26534401787301093
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Brand,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'Midsize'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.265344017873011,1.0,0.265344017873011
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.31261753157865735,[0.86969326],[0.27188136]
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.31261753157865735,0.9904131633100766,0.30962051835700577
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.31261753157865735,0.9934518262796495,0.3105704576738531
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.31261753157865735,0.9999999719106618,0.31261752279743776
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.31261753157865735,0.9999999999999907,0.3126175315786544
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': 'SUV'}",Year,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.31261753157865735,1.0,0.31261753157865735
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,1.0,[0.72056514],[0.72056514]
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('%', 'Year')]",Point,1.0,0.7222579361902184,0.7222579361902184
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,1.0,1.0,1.0
"{'Year': '*', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Category')]",Point,1.0,1.0,1.0
